frame,particle,x,y,z,mass
26,6,-1.79029,-2.59827,0.0455737,1.0
26,7,0.846612,0.443505,0.075991,1.0
26,8,0.143395,-0.43437,-0.0234257,1.0
26,9,0.0910065,-3.18634,0.0181378,1.0
26,10,-1.15176,-0.885516,0.0362567,1.0
26,11,1.05371,-1.3857,-0.11202,1.0
26,12,-0.0555541,-0.556783,-0.0540582,1.0
26,13,-2.31091,1.03339,0.0309344,1.0
26,14,-0.0690412,-2.00198,-0.106728,1.0
26,15,-0.089425,1.40107,0.083135,1.0
27,1,-0.910347,0.6933,-0.0586985,1.0
27,2,1.19246,1.86808,-0.0980272,1.0
27,3,-0.223661,2.81116,0.0354276,1.0
27,4,2.05341,0.878923,-0.0447304,1.0
27,5,-1.35144,-0.563193,-0.0493552,1.0
27,6,-1.81964,-2.56485,0.0329214,1.0
27,7,0.894868,0.521988,0.0864109,1.0
27,8,0.193508,-0.419829,-0.00133399,1.0
27,9,0.0489772,-3.16527,-0.00261466,1.0
27,10,-1.20548,-0.916937,0.0929046,1.0
27,11,1.0974,-1.39924,-0.0836879,1.0
27,12,-0.0777639,-0.526384,0.0997295,1.0
27,13,-2.34192,1.04194,-0.0656769,1.0
27,14,-0.0628215,-2.00506,-0.00729232,1.0
27,15,-0.0598536,1.46617,0.0334283,1.0
28,1,-0.906256,0.708104,0.0791734,1.0
28,2,1.19224,1.87712,-0.0851257,1.0
28,3,-0.197408,2.82584,-0.0947198,1.0
28,4,2.05466,0.876317,0.00513591,1.0
28,5,-1.37165,-0.57764,0.0934364,1.0
28,6,-1.8418,-2.5247,0.0181113,1.0
28,7,0.940163,0.60093,0.0965455,1.0
28,8,0.234272,-0.407234,0.0188287,1.0
28,9,0.00686869,-3.15091,-0.0272944,1.0
28,10,-1.26552,-0.95055,-0.0478343,1.0
28,11,1.14819,-1.41219,-0.0533411,1.0
28,12,-0.0840634,-0.490141,0.054053,1.0
28,13,-2.36568,1.04587,0.0379697,1.0
28,14,-0.0650112,-1.99825,-0.108285,1.0
28,15,-0.0335668,1.53154,-0.0143367,1.0
29,1,-0.90317,0.722197,0.0163624,1.0
29,2,1.19091,1.89683,-0.072211,1.0
29,3,-0.171313,2.84332,-0.024864,1.0
29,4,2.06455,0.868429,0.0550866,1.0
29,5,-1.39488,-0.596223,0.0342696,1.0
29,6,-1.85533,-2.47763,0.00387558,1.0
29,7,0.978235,0.673362,-0.0924509,1.0
29,8,0.265488,-0.397373,0.0400835,1.0
29,9,-0.0337225,-3.14423,-0.0544059,1.0
29,10,-1.32723,-0.986178,0.0127561,1.0
29,11,1.20311,-1.42435,-0.0230794,1.0
29,12,-0.0731642,-0.449377,0.0117028,1.0
29,13,-2.3822,1.0473,-0.0586818,1.0
29,14,-0.0767379,-1.98025,-0.00804459,1.0
29,15,-0.0102832,1.59262,-0.0598657,1.0
30,1,-0.899343,0.735643,0.150741,1.0
30,2,1.19306,1.92856,-0.0610907,1.0
30,3,-0.14457,2.86635,0.0461528,1.0
30,4,2.08532,0.856813,0.106241,1.0
30,5,-1.41868,-0.619719,-0.0265984,1.0
30,6,-1.86167,-2.42748,-0.0118701,1.0
30,7,1.00696,0.732277,-0.0842675,1.0
30,8,0.28635,-0.389826,0.0652891,1.0
30,9,-0.0738938,-3.14017,0.120039,1.0
30,10,-1.38738,-1.02063,0.0742437,1.0
30,11,1.26019,-1.43416,0.00639149,1.0
30,12,-0.0501117,-0.40768,-0.0315431,1.0
30,13,-2.38933,1.04537,0.0448014,1.0
30,14,-0.0933417,-1.94983,-0.108957,1.0
30,15,0.00698302,1.64848,0.0929174,1.0
31,1,-0.897784,0.74935,0.0871654,1.0
31,2,1.20064,1.97386,-0.0499807,1.0
31,3,-0.117357,2.89433,-0.0837844,1.0
31,4,2.11487,0.842706,-0.041634,1.0
31,5,-1.44342,-0.645752,-0.0860303,1.0
31,6,-1.86158,-2.37307,-0.0246907,1.0
31,7,1.0273,0.779126,-0.0790241,1.0
31,8,0.303327,-0.383925,0.0901643,1.0
31,9,-0.11285,-3.13901,0.0925607,1.0
31,10,-1.44108,-1.04912,-0.0645547,1.0
31,11,1.31475,-1.44355,0.0366944,1.0
31,12,-0.015656,-0.366145,-0.0760401,1.0
31,13,-2.38431,1.04138,-0.0514812,1.0
31,14,-0.113298,-1.90467,-0.00807198,1.0
31,15,0.015475,1.69471,0.0456503,1.0
32,1,-0.897688,0.758757,0.0273349,1.0
32,2,1.21427,2.03463,-0.0381776,1.0
32,3,-0.0903554,2.9268,-0.0134352,1.0
32,4,2.15304,0.8251,0.00887352,1.0
32,5,-1.46724,-0.671742,0.0544333,1.0
32,6,-1.85434,-2.31795,-0.0358071,1.0
32,7,1.03657,0.814655,-0.0785639,1.0
32,8,0.313779,-0.378955,-0.0820823,1.0
32,9,-0.150961,-3.14065,0.0653389,1.0
32,10,-1.48528,-1.07132,-0.00258844,1.0
32,11,1.36854,-1.45186,0.0683739,1.0
32,12,0.0275783,-0.326225,0.0796703,1.0
32,13,-2.37,1.03727,0.0510158,1.0
32,14,-0.133385,-1.84796,-0.109135,1.0
32,15,0.0174027,1.73007,0.00088934,1.0
33,1,-0.895923,0.7665,0.164998,1.0
33,2,1.23422,2.10542,-0.0278282,1.0
33,3,-0.0671605,2.96561,0.0571938,1.0
33,4,2.19495,0.804372,0.0599226,1.0
33,5,-1.48536,-0.696915,-0.00666065,1.0
33,6,-1.83954,-2.26714,-0.0436804,1.0
33,7,1.03326,0.838391,-0.0822142,1.0
33,8,0.320523,-0.374601,-0.054019,1.0
33,9,-0.190424,-3.14301,0.0382518,1.0
33,10,-1.51835,-1.08324,0.058432,1.0
33,11,1.41708,-1.45865,-0.103016,1.0
33,12,0.0738776,-0.289075,0.0336929,1.0
33,13,-2.34552,1.03185,-0.0475414,1.0
33,14,-0.153741,-1.78302,-0.00968354,1.0
33,15,0.0102735,1.75636,0.156466,1.0
34,1,-0.895912,0.771391,-0.0990208,1.0
34,2,1.2608,2.18284,-0.0187345,1.0
34,3,-0.047878,3.01066,-0.0715472,1.0
34,4,2.23952,0.781365,-0.087186,1.0
34,5,-1.49637,-0.720487,-0.0681393,1.0
34,6,-1.81744,-2.22108,-0.0521436,1.0
34,7,1.01912,0.853727,-0.0884425,1.0
34,8,0.321605,-0.370638,-0.0276069,1.0
34,9,-0.23044,-3.14305,0.0109398,1.0
34,10,-1.53846,-1.08423,-0.080616,1.0
34,11,1.46078,-1.46603,-0.071713,1.0
34,12,0.120559,-0.252586,-0.0160547,1.0
34,13,-2.30898,1.02325,0.0566204,1.0
34,14,-0.172849,-1.71555,0.0928672,1.0
34,15,-0.00190256,1.77241,-0.0860763,1.0
35,1,-0.896186,0.770122,0.0367483,1.0
35,2,1.28985,2.26103,-0.00956261,1.0
35,3,-0.0296918,3.059,-0.000823928,1.0
35,4,2.28818,0.754634,-0.0313894,1.0
35,5,-1.49963,-0.739732,0.0709291,1.0
35,6,-1.78934,-2.18532,-0.0593226,1.0
35,7,0.995871,0.865454,-0.0975303,1.0
35,8,0.320018,-0.367293,-0.00170856,1.0
35,9,-0.270175,-3.13904,-0.0180627,1.0
35,10,-1.54817,-1.06824,-0.0206756,1.0
35,11,1.49658,-1.47076,-0.0401301,1.0
35,12,0.168893,-0.216398,-0.0667016,1.0
35,13,-2.26588,1.01446,-0.0391501,1.0
35,14,-0.193912,-1.6467,-0.0036213,1.0
35,15,-0.0201221,1.77978,0.07108,1.0
36,1,-0.894067,0.762175,-0.0266493,1.0
36,2,1.32227,2.33645,0.000413302,1.0
36,3,-0.0106377,3.10848,0.0706995,1.0
36,4,2.33496,0.726411,0.0250635,1.0
36,5,-1.49588,-0.754664,0.00944461,1.0
